ID,degree_avg,degree_interHemisphere_avg,degree_intraHemisphere_avg,degree_withinModule_avg,degree_betweenModule_avg
0001_1,85.060000,37.320000,47.740000,13.440000,71.620000
0001_2,81.080000,34.040000,47.040000,12.960000,68.120000
0002_1,92.700000,44.100000,48.600000,14.700000,78.000000
0002_2,90.260000,42.260000,48.000000,14.120000,76.140000
0003_1,90.260000,41.800000,48.460000,14.000000,76.260000
0004_1,91.480000,43.180000,48.300000,14.400000,77.080000
0005_1,81.880000,35.680000,46.200000,13.300000,68.580000
0006_1,83.720000,36.240000,47.480000,13.600000,70.120000
0006_2,74.500000,30.860000,43.640000,12.060000,62.440000
0007_1,88.400000,40.380000,48.020000,14.180000,74.220000
0007_2,91.800000,43.400000,48.400000,14.420000,77.380000
0008_1,89.600000,41.360000,48.240000,14.160000,75.440000
0009_1,84.820000,37.300000,47.520000,13.600000,71.220000
0009_2,84.320000,36.980000,47.340000,13.520000,70.800000
0010_1,88.580000,40.520000,48.060000,13.780000,74.800000
0011_1,77.500000,30.780000,46.720000,12.720000,64.780000
0012_1,90.920000,42.440000,48.480000,14.300000,76.620000
0013_1,84.940000,38.200000,46.740000,13.580000,71.360000
0014_1,67.780000,27.600000,40.180000,10.820000,56.960000
0014_2,69.160000,28.060000,41.100000,11.280000,57.880000
0015_1,90.000000,41.400000,48.600000,14.160000,75.840000
0016_1,92.560000,44.080000,48.480000,14.520000,78.040000
0017_1,85.880000,38.100000,47.780000,13.520000,72.360000
0017_2,83.420000,35.000000,48.420000,13.380000,70.040000
0018_1,78.000000,31.720000,46.280000,12.100000,65.900000
0019_1,90.040000,42.080000,47.960000,14.120000,75.920000
0020_1,85.400000,38.460000,46.940000,13.480000,71.920000
0021_1,88.560000,40.280000,48.280000,14.060000,74.500000
0022_1,82.660000,35.060000,47.600000,13.140000,69.520000
0023_1,84.140000,35.520000,48.620000,13.240000,70.900000
0023_2,88.640000,40.040000,48.600000,13.860000,74.780000
0024_1,92.120000,43.380000,48.740000,14.680000,77.440000
0025_1,88.960000,40.700000,48.260000,13.840000,75.120000
0025_2,89.640000,41.220000,48.420000,13.980000,75.660000
0026_1,82.860000,34.680000,48.180000,13.200000,69.660000
0026_2,74.020000,26.200000,47.820000,12.080000,61.940000
0027_1,95.560000,46.940000,48.620000,14.760000,80.800000
0028_1,91.000000,42.180000,48.820000,14.280000,76.720000
0029_1,87.220000,39.100000,48.120000,13.860000,73.360000
0030_1,92.720000,44.120000,48.600000,14.720000,78.000000
0031_1,87.380000,38.920000,48.460000,13.860000,73.520000
0031_2,74.600000,29.040000,45.560000,11.880000,62.720000
0032_1,86.100000,39.800000,46.300000,13.460000,72.640000
0033_1,86.600000,38.520000,48.080000,13.780000,72.820000
0034_1,87.260000,39.320000,47.940000,13.780000,73.480000
0034_2,89.220000,41.360000,47.860000,14.020000,75.200000
0035_1,93.480000,45.020000,48.460000,14.680000,78.800000
0036_1,84.060000,37.020000,47.040000,13.540000,70.520000
0037_1,87.160000,39.040000,48.120000,14.000000,73.160000
0038_1,87.380000,40.260000,47.120000,13.860000,73.520000
0039_1,90.380000,41.680000,48.700000,14.180000,76.200000
0039_2,79.440000,32.340000,47.100000,12.580000,66.860000
0040_1,79.440000,33.080000,46.360000,12.820000,66.620000
0041_1,89.320000,41.120000,48.200000,14.160000,75.160000
0042_1,90.600000,42.560000,48.040000,14.320000,76.280000
0043_1,90.080000,41.840000,48.240000,14.480000,75.600000
0043_2,89.400000,41.120000,48.280000,14.260000,75.140000
0044_1,87.780000,39.840000,47.940000,13.840000,73.940000
0044_2,81.860000,35.120000,46.740000,13.200000,68.660000
0045_1,89.120000,40.660000,48.460000,14.160000,74.960000
0045_2,81.440000,34.760000,46.680000,13.020000,68.420000
0046_1,91.520000,43.080000,48.440000,14.380000,77.140000
0046_2,91.660000,42.940000,48.720000,14.480000,77.180000
0047_1,88.580000,40.980000,47.600000,14.000000,74.580000
0047_2,80.480000,35.860000,44.620000,12.740000,67.740000
0048_1,83.080000,35.080000,48.000000,13.200000,69.880000
0049_1,90.780000,42.640000,48.140000,14.100000,76.680000
0050_1,77.320000,28.620000,48.700000,12.240000,65.080000
0050_2,82.800000,34.080000,48.720000,13.060000,69.740000
0051_1,88.780000,40.120000,48.660000,13.720000,75.060000
0051_2,87.880000,39.340000,48.540000,13.840000,74.040000
0052_1,86.720000,39.880000,46.840000,13.780000,72.940000
